"","Loc","Input","block","DO","SamplN"
"1","C","+",1,7.59,0
"2","C","-",1,7.463333333,0
"3","F","+",1,5.876666667,0
"4","F","-",1,6.666666667,0
"5","C","+",2,6.75,0
"6","C","-",2,7.25,0
"7","F","+",2,6.43,0
"8","F","-",2,6.766666667,0
"9","C","+",3,8.68,0
"10","C","-",3,8.65,0
"11","F","+",3,7.013333333,0
"12","F","-",3,6.696666667,0
"13","C","+",1,6.113333333,4
"14","C","-",1,6.07,4
"15","F","+",1,7.186666667,4
"16","F","-",1,9.353333333,4
"17","C","+",2,6.63,4
"18","C","-",2,6.426666667,4
"19","F","+",2,4.326666667,4
"20","F","-",2,2.786666667,4
"21","C","+",3,7.16,4
"22","C","-",3,6.916666667,4
"23","F","+",3,3.33,4
"24","F","-",3,8.853333333,4
