Loc,Input,block,logPO4,SamplN
C,+,1,0.350262500193107,0
C,-,1,0.428524901362209,0
F,+,1,1.33368436370902,0
F,-,1,1.26925110554683,0
C,+,2,0.425911275917063,0
C,-,2,0.446885891703001,0
F,+,2,0.844791453196775,0
F,-,2,0.981121217171672,0
C,+,3,0.363909641743832,0
C,-,3,0.366704724782122,0
F,+,3,0.644440243135211,0
F,-,3,1.11962905423057,0
C,+,1,0.456444227682329,1
C,-,1,0.485775993990523,1
F,+,1,1.37142203090389,1
F,-,1,1.24010472311721,1
C,+,2,0.442760316315541,1
C,-,2,0.454175757352222,1
F,+,2,0.956470093736437,1
F,-,2,1.13091764281334,1
C,+,3,0.405462441427275,1
C,-,3,0.390998198236392,1
F,+,3,0.872493656820322,1
F,-,3,0.914262454999935,1
C,+,1,0.439081777334973,2
C,-,1,0.439390297607603,2
F,+,1,1.44411135351459,2
F,-,1,1.41848920001052,2
C,+,2,0.402697827691652,2
C,-,2,0.471843766199309,2
F,+,2,1.16843550731082,2
F,-,2,1.0251930751416,2
C,+,3,0.397432247841282,2
C,-,3,0.364635222040723,2
F,+,3,0.912483459857449,2
F,-,3,1.09052263546807,2
C,+,1,0.39977396958445,3
C,-,1,0.453617936313515,3
F,+,1,1.42929831648746,3
F,-,1,1.49647131705651,3
C,+,2,0.372636983781385,3
C,-,2,0.531029235839389,3
F,+,2,1.57280379822725,3
F,-,2,1.30853967583609,3
C,+,3,0.333741208228086,3
C,-,3,0.317034247443126,3
F,+,3,1.14517708970797,3
F,-,3,1.18995407660376,3
C,+,1,0.630429574835682,4
C,-,1,0.555049351151217,4
F,+,1,1.67048059797556,4
F,-,1,1.50945564133108,4
C,+,2,0.484890268131358,4
C,-,2,0.70124470359887,4
F,+,2,1.78883591983511,4
F,-,2,1.59492183496524,4
C,+,3,0.326969813597883,4
C,-,3,0.417401945151766,4
F,+,3,1.14471538695982,4
F,-,3,1.29117876772982,4
