,Loc,Input,block,totAdult,sqrAdult,SamplN
14C4+t,C,+,1,466,21.58703314,0
14C4-t,C,-,1,490,22.13594362,0
14F4+t,F,+,1,42,6.480740698,0
14F4-t,F,-,1,178,13.34166406,0
14C5+t,C,+,2,255,15.96871942,0
14C5-t,C,-,2,276,16.61324773,0
14F5+t,F,+,2,202,14.2126704,0
14F5-t,F,-,2,319,17.8605711,0
14C6+t,C,+,3,458,21.40093456,0
14C6-t,C,-,3,406,20.14944168,0
14F6+t,F,+,3,244,15.62049935,0
14F6-t,F,-,3,71,8.426149773,0
18C4+t,C,+,1,181,13.45362405,4
18C4-t,C,-,1,151,12.28820573,4
18F4+t,F,+,1,13,3.605551275,4
18F4-t,F,-,1,63,7.937253933,4
18C5+t,C,+,2,224,14.96662955,4
18C5-t,C,-,2,133,11.53256259,4
18F5+t,F,+,2,49,7,4
18F5-t,F,-,2,30,5.477225575,4
18C6+t,C,+,3,147,12.12435565,4
18C6-t,C,-,3,97,9.848857802,4
18F6+t,F,+,3,18,4.242640687,4
18F6-t,F,-,3,23,4.795831523,4
