,Loc,Input,block,totBact,SamplN
15C4+,F,+,1,8602532.562,1
15C4-,F,+,2,15292541.43,1
15F4+,F,+,3,9208869.179,1
15F4-,C,+,1,6709957.925,1
15C5+,C,+,2,11250808.75,1
15C5-,C,+,3,5291655.141,1
15F5+,F,-,1,10817097.31,1
15F5-,F,-,2,10415332.33,1
15C6+,F,-,3,13452798.06,1
15C6-,C,-,1,7589269.142,1
15F6+,C,-,2,7280500.758,1
15F6-,C,-,3,7020692.041,1
16C4+,F,+,1,10875125.77,2
16C4-,F,+,2,14795126.46,2
16F4+,F,+,3,11532799.44,2
16F4-,C,+,1,7304705.883,2
16C5+,C,+,2,6993359.375,2
16C5-,C,+,3,7436642.454,2
16F5+,F,-,1,9762026.295,2
16F5-,F,-,2,11999937.54,2
16C6+,F,-,3,11007175.93,2
16C6-,C,-,1,7463097.714,2
16F6+,C,-,2,9941369.472,2
16F6-,C,-,3,7364854.803,2
17C4+,F,+,1,5450680.544,3
17C4-,F,+,2,12802734.38,3
17F4+,F,+,3,9399201.597,3
17F4-,C,+,1,6785849.057,3
17C5+,C,+,2,7724531.25,3
17C5-,C,+,3,8467542.504,3
17F5+,F,-,1,10281927.71,3
17F5-,F,-,2,13262120.34,3
17C6+,F,-,3,12904339.85,3
17C6-,C,-,1,8042005.42,3
17F6+,C,-,2,9597624.521,3
17F6-,C,-,3,7908537.35,3
18C4+,F,+,1,13311100,4
18C4-,F,+,2,13438392.86,4
18F4+,F,+,3,10261196.58,4
18F4-,C,+,1,8492490.118,4
18C5+,C,+,2,6939773.532,4
18C5-,C,+,3,8553354.632,4
18F5+,F,-,1,7350645.406,4
18F5-,F,-,2,11890789.47,4
18C6+,F,-,3,12969358.67,4
18C6-,C,-,1,7135076.428,4
18F6+,C,-,2,8260806.452,4
18F6-,C,-,3,8053477.218,4
