,row.names,Loc,Input,block,chlTot,SamplN
1,7,C,+,1,6.225376,1
2,8,C,-,1,5.921228,1
3,9,F,+,1,4.765583,1
4,10,F,-,1,3.600261,1
5,19,C,+,1,6.093986,2
6,20,C,-,1,6.704051,2
7,21,F,+,1,5.472242,2
8,22,F,-,1,6.855823,2
9,31,C,+,1,7.072167,3
10,32,C,-,1,4.839237,3
11,33,F,+,1,7.02582,3
12,34,F,-,1,4.771826,3
13,43,C,+,1,5.864524,4
14,44,C,-,1,4.947667,4
15,45,F,+,1,2.508409,4
16,46,F,-,1,3.041358,4
17,11,C,+,2,6.565932,1
18,12,C,-,2,7.539688,1
19,13,F,+,2,3.890483,1
20,14,F,-,2,5.378079,1
21,23,C,+,2,6.049739,2
22,24,C,-,2,8.405521,2
23,25,F,+,2,7.024478,2
24,26,F,-,2,5.67751,2
25,35,C,+,2,6.515092,3
26,36,C,-,2,5.086816,3
27,37,F,+,2,6.981438,3
28,38,F,-,2,5.403634,3
29,47,C,+,2,5.700489,4
30,48,C,-,2,7.764483,4
31,49,F,+,2,2.975143,4
32,50,F,-,2,4.934033,4
33,15,C,+,3,5.585233,1
34,16,C,-,3,4.87727,1
35,17,F,+,3,5.42323,1
36,18,F,-,3,4.786374,1
37,27,C,+,3,5.118665,2
38,28,C,-,3,5.802627,2
39,29,F,+,3,6.728188,2
40,30,F,-,3,5.011558,2
41,39,C,+,3,7.912822,3
42,40,C,-,3,5.145193,3
43,41,F,+,3,4.835065,3
44,42,F,-,3,5.641461,3
45,51,C,+,3,3.166008,4
46,52,C,-,3,5.478009,4
47,53,F,+,3,4.290671,4
48,54,F,-,3,3.614274,4
