,Loc,Input,block,totPhyt,SamplN
1,F,+,1,271587.3016,1
2,F,+,2,259326.6833,1
3,F,+,3,220210.6027,1
4,C,+,1,228461.5385,1
5,C,+,2,207547.8142,1
6,C,+,3,191693.9176,1
7,F,-,1,254050.6329,1
8,F,-,2,324125.1384,1
9,F,-,3,146513.9665,1
10,C,-,1,263496.8625,1
11,C,-,2,194026.9542,1
12,C,-,3,170161.1773,1
13,F,+,1,233231.1792,2
14,F,+,2,273549.3286,2
15,F,+,3,223550.0748,2
16,C,+,1,278126.6217,2
17,C,+,2,223227.5132,2
18,C,+,3,184527.3632,2
19,F,-,1,321677.4611,2
20,F,-,2,304191.7974,2
21,F,-,3,365099.3377,2
22,C,-,1,245278.0807,2
23,C,-,2,315747.3684,2
24,C,-,3,247171.6102,2
25,F,+,1,131354.8387,3
26,F,+,2,338981.4294,3
27,F,+,3,279629.6296,3
28,C,+,1,233487.2611,3
29,C,+,2,239778.5434,3
30,C,+,3,240136.9863,3
31,F,-,1,228081.557,3
32,F,-,2,320767.7725,3
33,F,-,3,250537.6344,3
34,C,-,1,186741.6378,3
35,C,-,2,340623.3766,3
36,C,-,3,195012.225,3
37,F,+,1,251514.8515,4
38,F,+,2,144116.5142,4
39,F,+,3,247992.3518,4
40,C,+,1,165399.361,4
41,C,+,2,250972.6962,4
42,C,+,3,190230.8326,4
43,F,-,1,126166.9659,4
44,F,-,2,281509.901,4
45,F,-,3,207332.4573,4
46,C,-,1,155978.1868,4
47,C,-,2,251743.6975,4
48,C,-,3,180518.688,4
