Location,Input,Sample,Block
Reference ,+,1,4
Reference ,+,1,5
Reference ,+,1,6
Reference ,-,1,4
Reference ,-,1,5
Reference ,-,1,6
Reference ,+,2,4
Reference ,+,2,5
Reference ,+,2,6
Reference ,-,2,4
Reference ,-,2,5
Reference ,-,2,6
Reference ,+,3,4
Reference ,+,3,5
Reference ,+,3,6
Reference ,-,3,4
Reference ,-,3,5
Reference ,-,3,6
Reference ,+,4,4
Reference ,+,4,5
Reference ,+,4,6
Reference ,-,4,4
Reference ,-,4,5
Reference ,-,4,6
Farm,+,1,4
Farm,+,1,5
Farm,+,1,6
Farm,-,1,4
Farm,-,1,5
Farm,-,1,6
Farm,+,2,4
Farm,+,2,5
Farm,+,2,6
Farm,-,2,4
Farm,-,2,5
Farm,-,2,6
Farm,+,3,4
Farm,+,3,5
Farm,+,3,6
Farm,-,3,4
Farm,-,3,5
Farm,-,3,6
Farm,+,4,4
Farm,+,4,5
Farm,+,4,6
Farm,-,4,4
Farm,-,4,5
Farm,-,4,6
