Acartia,Centropages,Cyclopina,Harpacticoida,Microsetella,Oithona,Oncaea,Pseudodiaptomus,Paracalanus,Pseudocalanus.spp..female,Temora,Zaus,Edvane.spp.,Podon.spp.,Amphipoda,Chaetognatha..broken.,Echinodermata.Larva,Ectoprocta,Gastropoda.Eggs,Crustacea.Larva,Annelida.Larva,Cnidaria,Foraminiferida,Isopoda.larva,Mollusca.Bivalvia,Mysidacea..mysis.larva.,Polychaeta.larva,Ostracoda,Clione.limacina,Limacina.spp.,Position,Location,Input,Sample,Block 
295,0,5,185,27,59,0,3,3,0,14,0,0,0,2,0,0,0,0,1,0,0,3,0,3,0,0,0,0,42,t,Control,+,Start,4
89,0,6,128,15,49,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6,m,Control,+,Start,4
55,0,40,611,11,27,0,6,0,0,1,0,0,0,1,0,0,0,0,5,0,0,19,0,4,0,2,21,0,11,b,Control,+,Start,4
241,0,1,121,47,135,0,2,0,0,20,0,0,1,0,0,0,1,0,0,0,0,2,0,6,0,9,0,0,88,t,Control,-,Start,4
96,0,3,93,19,92,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,0,15,m,Control,-,Start,4
58,0,10,2,6,32,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,2,0,2,1,0,7,b,Control,-,Start,4
11,0,0,12,9,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,t,Farm,+,Start,4
10,0,0,30,0,2,0,2,0,0,0,0,0,0,0,1,3,0,4,0,0,0,13,0,4,0,3,0,0,2,m,Farm,+,Start,4
16,0,0,5,0,5,0,3,0,0,0,0,0,0,1,2,0,0,3,0,0,0,28,0,3,0,0,1,0,11,b,Farm,+,Start,4
101,0,0,62,10,5,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,28,t,Farm,-,Start,4
85,0,19,113,2,21,0,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,2,0,0,50,m,Farm,-,Start,4
7,0,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,36,2,0,0,0,72,b,Farm,-,Start,4
174,0,0,34,39,81,0,0,3,0,3,0,0,0,1,0,0,3,2,0,0,0,0,0,4,0,0,0,0,2,t,Control,+,Start,5
218,0,0,125,45,86,7,1,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,17,m,Control,+,Start,5
204,4,5,173,32,75,0,4,0,2,10,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,6,1,0,16,b,Control,+,Start,5
173,0,6,68,30,43,0,9,0,0,9,0,0,0,0,0,0,1,0,0,0,1,6,0,4,0,13,0,0,45,t,Control,-,Start,5
208,0,13,132,59,94,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,1,0,22,m,Control,-,Start,5
366,0,17,154,75,120,0,9,0,0,4,7,0,2,1,0,0,1,0,0,0,1,12,0,2,0,1,0,0,29,b,Control,-,Start,5
